|            RA |            DEC | FCC | Mem |        MType | BTmag |
| 53.7348047837 | -35.1896043039 | 140 |   1 |        dE4,N |  19.0 |
| 53.7423263028 | -35.0410210448 | 142 |   1 |        dE2,N |  18.5 |
| 53.7976510891 | -35.3215182123 | 146 |   2 |        dE4,N |  19.5 |
| 53.8496620965 | -36.3622885814 | 150 |   1 |        dE4,N |  15.7 |
| 53.8553503361 | -36.1773088444 | 151 |   1 |       dE0,N? |  18.0 |
| 53.9279218588 |  -35.512586048 | 157 |   1 |       dE0,N? |  18.3 |
| 53.9425545382 |  -35.988204089 | 158 |   1 |        dE6,N |  16.8 |
| 53.9814319305 | -34.8263997268 | 159 |   1 |        dE3,N |  18.1 |
| 54.0163991974 | -35.3873761934 | 160 |   1 |        dE1,N |  17.7 |
| 54.0533418165 |  -36.165029612 | 164 |   1 |     dS0(5),N |  16.4 |
| 54.0992268447 | -37.1621653535 | 166 |   2 |        dE3,N |  18.1 |
| 54.1557156148 | -35.3845900686 | 171 |   2 |       dE0,N? |  17.9 |
| 54.2020916802 | -34.2786496554 | 178 |   1 |        dE3,N |  17.2 |
| 54.2211411016 | -34.9367870638 | 181 |   1 |        dE2,N |  17.2 |
| 54.2198008253 | -36.4848541227 | 183 |   1 |     dS0(7),N |  17.2 |
| 54.2688552436 | -35.5886485087 | 188 |   1 |        dE0,N |  16.1 |
|  54.283894833 | -34.7298096611 | 189 |   2 |        dE4,N |  18.8 |
| 54.3469477956 | -34.8986709454 | 195 |   1 |        dE5,N |  16.7 |
| 54.5267290233 | -35.4382749438 | 202 |   1 |       d:E6,N |  15.3 |
| 54.5379720448 | -34.5169205993 | 203 |   1 |        dE6,N |  15.5 |
| 54.5567510904 | -33.1253136756 | 204 |   1 |     dS0(8),N |  14.9 |
|   54.52949781 | -38.0941491713 | 205 |   1 |       dE1,N? |  16.9 |
| 54.5797201095 | -35.1273698533 | 207 |   1 |        dE2,N |  15.9 |
| 54.5777507607 | -35.5290330858 | 208 |   1 |        dE2,N |  17.3 |
| 54.5932379831 | -33.6585188929 | 209 |   2 |        dE5,N |  18.7 |
| 54.5889256026 | -35.2582409857 | 211 |   2 |       d:E2,N |  16.3 |
| 54.6562331353 | -35.7554570328 | 215 |   2 |        dE,N? |  19.2 |
| 54.7735083682 | -36.0973140449 | 221 |   2 |        dE4,N |  17.7 |
| 54.8053294148 | -35.3696543556 | 222 |   1 |        dE0,N |  15.6 |
| 54.8310718571 | -35.7233714005 | 223 |   1 |        dE0,N |  16.2 |
| 54.9586989854 | -35.5210978421 | 227 |   1 |       dE0,N? |  19.3 |
| 55.0048253179 | -34.7565505169 | 230 |   1 |        dE5,N |  17.2 |
| 55.0186736692 | -34.1660436692 | 231 |   1 |       dE0,N? |  18.4 |
| 55.0304236338 | -32.3177378767 | 232 |   1 |        dE7,N |  17.4 |
| 55.0411693105 |  -34.445024939 | 234 |   1 |        dE5,N |  17.2 |
| 55.0710556404 | -36.5335001379 | 238 |   2 |        dE5,N |  18.7 |
| 55.0969858289 | -35.2744225479 | 241 |   1 |        dE0,N |  16.6 |
| 55.1120260909 | -36.4975516023 | 243 |   1 |        dE1,N |  16.5 |
| 55.1404932978 | -35.0212595609 | 245 |   1 |        dE0,N |  16.0 |
|   55.20933511 |  -35.746819457 | 252 |   1 |        dE0,N |  16.0 |
| 55.2300268973 | -37.8366481709 | 253 |   1 |       dE5,N? |  16.3 |
| 55.2526193959 | -35.7406029713 | 254 |   1 |        dE0,N |  17.6 |
| 55.2664982378 | -35.6459350145 | 257 |   2 |       dE0,N? |  18.1 |
| 55.3027005902 | -35.1569072785 | 260 |   1 |        dE0,N |  17.0 |
| 55.3820367537 | -35.5877841545 | 264 |   1 |   dS0  (8),N |  16.8 |
| 55.4215639493 | -35.1687706627 | 266 |   1 |        dE0,N |  15.9 |
| 55.5715398906 | -35.5390965177 | 274 |   1 |        dE0,N |  16.5 |
| 55.6130354435 |  -33.869244289 | 278 |   2 |        dE6,N |  16.8 |
| 55.6094178358 | -36.6856500643 | 279 |   1 |        dE0,N |  16.7 |
| 55.8023080008 | -34.6416777995 | 286 |   1 |       dE0,N? |  18.1 |
| 55.8442943074 | -33.9373941653 | 288 |   1 |     dS0(9),N |  15.4 |
|  55.976331512 | -33.0398593759 | 292 |   1 |       dE6,N? |  17.1 |
| 56.1043966563 | -35.8551278381 | 293 |   1 |        dE1,N |  17.6 |
| 56.1130488104 | -35.6643271637 | 294 |   1 |       dE1,N? |  17.2 |
|  56.136692477 | -35.1944170629 | 296 |   1 |        dE1,N |  16.3 |
| 56.1844672821 | -35.6821150954 | 298 |   2 |        dE2,N |  16.6 |
| 56.2491648376 |  -36.317938862 | 300 |   1 |        dE4,N |  16.1 |
| 56.3080863291 | -36.9354061202 | 303 |   1 |        dE1,N |  15.5 |
| 56.5752404519 | -33.7620054352 | 311 |   1 |     dS0(8),N |  16.9 |
| 56.6559628598 | -37.1579270471 | 314 |   1 |        dE2,N |  16.5 |
| 56.7557541099 | -36.4361008758 | 316 |   1 |        dE3,N |  16.3 |
| 56.7834774325 |  -36.325378739 | 318 |   1 |        dE2,N |  16.1 |
| 56.8174287342 | -32.3007492377 | 319 |   1 |        dE6,N |  16.4 |
| 56.8934041635 |  -32.253279496 | 320 |   2 |       dE5,N? |  17.3 |
| 58.0123151806 | -37.8734762575 | 339 |   2 |         dE,N |  17.5 |
